iter	Passed	Remaining
602	249593	539750
603	250041	539411
604	250442	538968
605	250859	538561
606	251290	538182
607	251726	537816
608	252183	537494
609	252571	537025
610	252968	536574
611	253506	536423
612	253896	535957
613	254271	535461
614	254691	535059
615	255097	534628
616	255464	534114
617	255879	533704
618	256263	533226
619	256639	532734
620	257049	532312
621	257407	531781
622	257752	531227
623	258184	530850
624	258610	530461
625	259034	530068
626	259435	529629
627	259806	529128
628	260189	528653
629	260582	528196
630	261006	527804
631	261373	527295
632	261802	526913
633	262160	526388
634	262513	525853
635	262895	525377
636	263273	524892
637	263701	524509
638	264107	524081
639	264491	523610
640	264848	523086
641	265222	522594
642	265657	522225
643	266061	521794
644	266464	521360
645	266877	520948
646	267215	520388
647	267586	519894
648	268051	519581
649	268442	519126
650	268801	518609
651	269203	518174
652	269652	517831
653	270091	517469
654	270539	517121
655	270938	516683
656	271367	516301
657	271776	515879
658	272182	515453
659	272545	514945
660	272959	514535
661	273368	514115
662	273745	513633
663	274197	513293
664	274548	512765
665	274920	512276
666	275325	511848
667	275736	511434
668	276094	510918
669	276505	510504
670	276912	510080
671	277286	509597
672	277728	509236
673	278153	508847
674	278568	508438
675	279003	508067
676	279392	507611
677	279801	507191
678	280138	506642
679	280553	506234
680	280909	505720
681	281290	505249
682	281683	504803
683	282065	504337
684	282491	503948
685	282926	503575
686	283296	503088
687	283704	502668
688	284144	502305
689	284510	501811
690	284863	501292
691	285260	500854
692	285641	500387
693	285998	499878
694	286383	499419
695	286769	498962
696	287203	498587
697	287550	498064
698	287923	497584
699	288338	497178
700	288751	496767
701	289152	496337
702	289561	495920
703	289953	495474
704	290335	495012
705	290727	494566
706	291127	494134
707	291575	493783
708	291946	493303
709	292343	492865
710	292722	492400
711	293068	491877
712	293511	491519
713	293900	491068
714	294293	490626
715	294724	490246
716	295109	489790
717	295518	489375
718	295988	489060
719	296410	488665
720	296856	488310
721	297253	487874
722	297711	487539
723	298117	487117
724	298527	486702
725	298908	486241
726	299363	485899
727	299784	485503
728	300196	485091
729	300648	484744
730	301105	484405
731	301579	484092
732	301967	483641
733	302420	483295
734	302852	482915
735	303292	482547
736	303744	482199
737	304149	481776
738	304623	481461
739	305113	481171
740	305543	480788
741	305978	480410
742	306360	479951
743	306782	479554
744	307206	479159
745	307657	478806
746	308085	478419
747	308539	478071
748	308963	477676
749	309382	477273
750	309838	476928
751	310268	476542
752	310678	476126
753	311068	475679
754	311457	475230
755	311833	474762
756	312252	474360
757	312677	473966
758	313070	473524
759	313460	473077
760	313871	472663
761	314265	472222
762	314738	471901
763	315100	471412
764	315467	470932
765	315872	470510
766	316268	470073
767	316674	469652
768	317038	469167
769	317416	468703
770	317902	468401
771	318301	467969
772	318701	467538
773	319130	467151
774	319494	466667
775	319871	466203
776	320242	465732
777	320656	465322
778	321055	464891
779	321455	464461
780	321816	463976
781	322315	463689
782	322707	463247
783	323132	462854
784	323545	462443
785	323960	462035
786	324401	461663
787	324772	461192
788	325166	460754
789	325593	460364
790	325947	459870
791	326311	459390
792	326659	458888
793	327095	458509
794	327461	458034
795	327937	457711
796	328415	457391
797	328808	456952
798	329225	456547
799	329618	456109
800	330042	455714
801	330450	455296
802	330913	454954
803	331340	454562
804	331738	454132
805	332134	453697
806	332563	453308
807	332960	452876
808	333375	452467
809	333725	451971
810	334120	451537
811	334523	451112
812	334905	450660
813	335278	450195
814	335709	449809
815	336079	449340
816	336479	448914
817	336831	448422
818	337258	448030
819	337674	447624
820	338070	447191
821	338473	446768
822	338821	446272
823	339274	445915
824	339684	445501
825	340043	445021
826	340423	444567
827	340800	444110
828	341166	443640
829	341590	443244
830	341958	442776
831	342370	442365
832	342765	441933
833	343184	441530
834	343628	441161
835	344012	440714
836	344390	440259
837	344814	439865
838	345190	439408
839	345632	439035
840	346023	438597
841	346407	438151
842	346808	437727
843	347214	437309
844	347568	436825
845	347989	436427
846	348402	436017
847	348770	435552
848	349227	435198
849	349703	434866
850	350072	434402
851	350462	433964
852	350872	433552
853	351239	433085
854	351682	432713
855	352075	432279
856	352496	431880
857	352899	431458
858	353317	431054
859	353728	430644
860	354206	430313
861	354642	429931
862	355057	429524
863	355459	429101
864	355882	428704
865	356305	428306
866	356760	427948
867	357182	427548
868	357619	427168
869	358062	426793
870	358458	426363
871	358884	425969
872	359277	425535
873	359681	425116
874	360078	424686
875	360450	424228
876	360840	423792
877	361267	423399
878	361672	422979
879	362077	422560
880	362445	422098
881	362826	421652
882	363232	421234
883	363655	420836
884	364078	420439
885	364466	420000
886	364877	419588
887	365251	419134
888	365674	418736
889	366073	418311
890	366458	417869
891	366902	417495
892	367328	417100
893	367762	416714
894	368166	416295
895	368607	415917
896	369041	415531
897	369443	415110
898	369840	414681
899	370270	414291
900	370682	413881
901	371116	413494
902	371523	413078
903	371979	412715
904	372379	412292
905	372769	411857
906	373141	411401
907	373535	410971
908	374008	410627
909	374420	410216
910	374855	409831
911	375314	409471
912	375736	409070
913	376120	408629
914	376501	408185
915	376928	407790
916	377352	407393
917	377788	407007
918	378167	406560
919	378621	406195
920	378968	405714
921	379389	405313
922	379784	404883
923	380238	404517
924	380638	404093
925	381011	403641
926	381411	403218
927	381803	402786
928	382185	402344
929	382552	401885
930	382943	401452
931	383351	401037
932	383774	400639
933	384159	400200
934	384597	399816
935	385009	399406
936	385423	398997
937	385775	398525
938	386203	398130
939	386551	397654
940	386923	397203
941	387315	396771
942	387716	396350
943	388131	395943
944	388570	395560
945	388977	395145
946	389428	394773
947	389779	394302
948	390198	393899
949	390615	393494
950	390969	393024
951	391407	392640
952	391826	392237
953	392266	391855
954	392666	391432
955	393070	391014
956	393484	390606
957	393989	390288
958	394476	389951
959	394909	389561
960	395335	389164
961	395834	388839
962	396279	388461
963	396722	388080
964	397103	387638
965	397503	387216
966	397888	386778
967	398291	386358
968	398689	385935
969	399117	385539
970	399517	385116
971	399925	384701
972	400316	384270
973	400749	383880
974	401127	383436
975	401523	383010
976	401983	382645
977	402456	382292
978	402839	381854
979	403261	381452
980	403694	381060
981	404082	380627
982	404477	380200
983	404838	379741
984	405228	379309
985	405633	378892
986	406045	378481
987	406415	378032
988	406859	377651
989	407290	377258
990	407710	376854
991	408107	376429
992	408565	376061
993	408984	375657
994	409429	375275
995	409835	374859
996	410267	374467
997	410686	374062
998	411075	373629
999	411475	373208
1000	411845	372758
1001	412229	372323
1002	412643	371914
1003	413093	371536
1004	413560	371175
1005	413978	370770
1006	414424	370389
1007	414802	369948
1008	415227	369548
1009	415646	369143
1010	416056	368730
1011	416461	368313
1012	416873	367901
1013	417281	367487
1014	417670	367056
1015	418040	366608
1016	418410	366160
1017	418828	365754
1018	419190	365300
1019	419570	364861
1020	419962	364433
1021	420353	364005
1022	420716	363551
1023	421126	363138
1024	421584	362767
1025	421975	362339
1026	422362	361907
1027	422739	361466
1028	423163	361066
1029	423563	360645
1030	423964	360226
1031	424355	359797
1032	424704	359333
1033	425118	358924
1034	425546	358527
1035	425993	358146
1036	426421	357750
1037	426853	357355
1038	427256	356938
1039	427660	356520
1040	428052	356093
1041	428449	355671
1042	428872	355269
1043	429269	354846
1044	429633	354396
1045	430061	353999
1046	430497	353608
1047	430866	353162
1048	431277	352751
1049	431708	352356
1050	432127	351951
1051	432543	351544
1052	432958	351136
1053	433371	350726
1054	433736	350278
1055	434110	349837
1056	434560	349457
1057	434949	349028
1058	435372	348626
1059	435780	348213
1060	436184	347796
1061	436574	347368
1062	437033	346995
1063	437485	346616
1064	437858	346175
1065	438192	345703
1066	438611	345299
1067	439008	344876
1068	439455	344493
1069	439865	344081
1070	440269	343664
1071	440657	343236
1072	441032	342797
1073	441424	342371
1074	441814	341944
1075	442254	341555
1076	442674	341151
1077	443079	340735
1078	443573	340387
1079	443985	339977
1080	444392	339563
1081	444817	339162
1082	445235	338757
1083	445679	338371
1084	446106	337972
1085	446592	337617
1086	446997	337201
1087	447354	336749
1088	447708	336295
1089	448176	335926
1090	448574	335505
1091	448951	335068
1092	449394	334681
1093	449771	334245
1094	450156	333814
1095	450559	333397
1096	450961	332979
1097	451327	332535
1098	451754	332136
1099	452152	331715
1100	452518	331271
1101	452904	330841
1102	453344	330452
1103	453753	330039
1104	454155	329622
1105	454517	329175
1106	454849	328707
1107	455241	328283
1108	455652	327872
1109	456026	327435
1110	456446	327030
1111	456845	326611
1112	457267	326209
1113	457670	325792
1114	458063	325369
1115	458435	324930
1116	458863	324531
1117	459244	324100
1118	459709	323727
1119	460131	323324
1120	460526	322902
1121	460955	322504
1122	461323	322064
1123	461675	321611
1124	462038	321168
1125	462473	320773
1126	462897	320372
1127	463315	319966
1128	463765	319583
1129	464225	319206
1130	464615	318781
1131	465062	318395
1132	465418	317947
1133	465781	317503
1134	466194	317094
1135	466561	316654
1136	466991	316256
1137	467388	315836
1138	467780	315412
1139	468150	314975
1140	468568	314569
1141	468967	314150
1142	469395	313751
1143	469770	313317
1144	470192	312914
1145	470552	312469
1146	470939	312043
1147	471372	311647
1148	471765	311225
1149	472114	310774
1150	472511	310354
1151	472912	309938
1152	473373	309560
1153	473793	309156
1154	474255	308779
1155	474681	308378
1156	475076	307958
1157	475464	307532
1158	475874	307121
1159	476282	306709
1160	476625	306255
1161	477012	305829
1162	477402	305406
1163	477792	304982
1164	478217	304581
1165	478634	304174
1166	478988	303728
1167	479401	303320
1168	479786	302893
1169	480202	302486
1170	480611	302074
1171	481044	301679
1172	481462	301273
1173	481933	300900
1174	482392	300520
1175	482767	300087
1176	483211	299697
1177	483594	299270
1178	484050	298887
1179	484505	298504
1180	484937	298107
1181	485355	297701
1182	485783	297300
1183	486220	296906
1184	486662	296515
1185	487049	296089
1186	487486	295695
1187	487964	295325
1188	488396	294927
1189	488811	294519
1190	489242	294120
1191	489702	293739
1192	490144	293347
1193	490494	292900
1194	490917	292496
1195	491298	292067
1196	491767	291691
1197	492220	291305
1198	492707	290939
1199	493083	290508
1200	493484	290091
1201	493915	289692
1202	494302	289267
1203	494661	288826
1204	495106	288435
1205	495543	288040
1206	495898	287596
1207	496300	287180
1208	496704	286765
1209	497160	286381
1210	497568	285968
1211	497978	285556
1212	498399	285152
1213	498779	284723
1214	499176	284304
1215	499559	283878
1216	500010	283489
1217	500442	283090
1218	500827	282665
1219	501264	282269
1220	501803	281930
1221	502279	281555
1222	502712	281157
1223	503126	280747
1224	503574	280357
1225	504011	279960
1226	504476	279579
1227	504922	279187
1228	505396	278811
1229	505836	278415
1230	506259	278011
1231	506665	277596
1232	507039	277165
1233	507450	276753
1234	507878	276351
1235	508266	275927
1236	508650	275502
1237	509045	275082
1238	509447	274665
1239	509836	274242
1240	510258	273837
1241	510686	273435
1242	511179	273067
1243	511540	272629
1244	512012	272250
1245	512402	271828
1246	512799	271409
1247	513184	270984
1248	513622	270587
1249	514022	270169
1250	514394	269738
1251	514796	269322
1252	515243	268929
1253	515647	268514
1254	516176	268165
1255	516623	267772
1256	517138	267414
1257	517663	267061
1258	518188	266708
1259	518742	266370
1260	519272	266019
1261	519846	265690
1262	520289	265294
1263	520664	264863
1264	521106	264466
1265	521568	264079
1266	521949	263652
1267	522345	263232
1268	522774	262828
1269	523215	262431
1270	523647	262029
1271	524038	261607
1272	524437	261188
1273	524829	260766
1274	525227	260348
1275	525641	259937
1276	526102	259549
1277	526528	259144
1278	526924	258724
1279	527315	258302
1280	527809	257930
1281	528270	257542
1282	528696	257136
1283	529127	256734
1284	529561	256332
1285	529902	255885
1286	530339	255485
1287	530757	255076
1288	531152	254656
1289	531527	254226
1290	531948	253818
1291	532340	253397
1292	532795	253005
1293	533203	252591
1294	533718	252228
1295	534143	251822
1296	534602	251432
1297	535028	251026
1298	535429	250608
1299	535847	250199
1300	536219	249768
1301	536661	249370
1302	537037	248941
1303	537440	248525
1304	537930	248148
1305	538323	247727
1306	538681	247290
1307	539066	246866
1308	539477	246453
1309	539891	246042
1310	540264	245612
1311	540616	245173
1312	541006	244750
1313	541452	244354
1314	541850	243935
1315	542256	243520
1316	542571	243065
1317	543046	242681
1318	543487	242282
1319	543948	241892
1320	544388	241492
1321	544831	241094
1322	545223	240672
1323	545679	240280
1324	546055	239852
1325	546473	239442
1326	546897	239036
1327	547339	238636
1328	547777	238235
